name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Peppers,00-0021140,no,GB,OLB,8,1,0,6.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Daniels,00-0029284,no,GB,DE,15,1,0,4.0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Foles,00-0029567,no,STL,QB,,,,,,2,1,4,1,-4,,,,,,,,,,,,,,,256,145,6,7,1,1,1678,,,,,,,,,,,,,,,,,,14,21,1,1,0,0,20
T.Austin,00-0030525,no,STL,WR,,,,,,2,0,2,0,0,,,,,,,,,,6,6,0,1,0,,,,,,,,,,,,,70,139,75,23,1,182,83,31,4,0,0,310,29,143,18,2,0,0,241
B.Cunningham,00-0029795,no,STL,RB,,,,,,,,,,,,,,,,,,,,168,179,0,12,0,,,,,,,,,,,,,,,,,,120,0,18,0,0,0,189,25,32,0,0,0,0,68
I.Pead,00-0029626,yes,STL,,,,,,,1,0,1,0,0,,,,,,,,,,21,22,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,0,0,0,3
S.Bailey,00-0030532,no,STL,WR,,,,,,0,1,0,1,0,,,,,,,,,,28,28,0,1,0,,,,,,,,,,,,,,,,,,133,18,12,1,0,0,182,,,,,,,
K.Britt,00-0027006,no,STL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,40,18,1,0,0,341,,,,,,,
L.Kendricks,00-0027985,no,STL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,67,14,2,0,0,164,,,,,,,
J.Cook,00-0027061,no,STL,TE,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,0,26,0,1,1,321,,,,,,,
